[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002444s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002749s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run CheckRoute Behavior [ RunTime:0.003808s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.005356s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002670s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run CheckLang Behavior [ RunTime:0.006766s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012154s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.013899s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.000813s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.002528s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.002761s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.028239s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028500s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ContentReplace Behavior [ RunTime:0.001673s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run TokenBuild Behavior [ RunTime:0.001707s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001241s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.001884s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007143s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001699s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.001921s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run CheckRoute Behavior [ RunTime:0.006502s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.006828s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002969s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run CheckLang Behavior [ RunTime:0.009602s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013185s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.002511s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.002783s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.025999s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026263s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run ContentReplace Behavior [ RunTime:0.001731s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run TokenBuild Behavior [ RunTime:0.001810s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001240s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run ShowRuntime Behavior [ RunTime:0.001903s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007322s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.001629s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.001842s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run CheckRoute Behavior [ RunTime:0.002402s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ route_check ] --END-- [ RunTime:0.002685s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001481s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run CheckLang Behavior [ RunTime:0.002696s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004561s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | NOTIC: [8] Undefined index: action IndexAction.class.php 第 19 行.
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.065290s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.003092s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run LocationTemplate Behavior [ RunTime:0.002209s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.002474s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | NOTIC: [8] Undefined index: action 8d630bfcc3f8428cb093c5301748865f.php 第 32 行.
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.029090s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029320s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.001283s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.001351s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000979s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.001522s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005758s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Run ShowPageTrace Behavior [ RunTime:0.001392s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/menu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001606s ]
[ 2012-10-17T00:03:51+08:00 ] /myweb/index.php/Admin/index/skin/images/frame/wbg.gif | ERR: (ThinkException) 非法操作skin
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.007513s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.007877s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002652s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.010002s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013188s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.015658s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.002534s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.003249s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.003568s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.050977s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.051314s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.002359s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.003139s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001705s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.002814s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010917s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowPageTrace Behavior [ RunTime:0.003356s ]
[ 2012-10-17T00:03:53+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --END-- [ RunTime:0.003671s ]
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.004551s ]
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.004898s ]
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002601s ]
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.007570s ]
[ 2012-10-17T00:03:56+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010678s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.014560s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.002760s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.003265s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.003590s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.037686s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038034s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.001744s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.001841s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001286s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.001841s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007399s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowPageTrace Behavior [ RunTime:0.001689s ]
[ 2012-10-17T00:03:57+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --END-- [ RunTime:0.001907s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckRoute Behavior [ RunTime:0.004151s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.004487s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002610s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run CheckLang Behavior [ RunTime:0.012462s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.015667s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.016686s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | SQL: SELECT * FROM `my_category` WHERE pid=0  [ RunTime:0.001105s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run LocationTemplate Behavior [ RunTime:0.003433s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.003911s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ParseTemplate Behavior [ RunTime:0.049314s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049694s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ContentReplace Behavior [ RunTime:0.002322s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run TokenBuild Behavior [ RunTime:0.002721s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002276s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Run ShowRuntime Behavior [ RunTime:0.004470s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012942s ]
[ 2012-10-17T00:04:00+08:00 ] /myweb/index.php/Admin/index/menu/action/Setting | INFO: Tag[ view_end ] --START--
